,grande,pronto,blanco,triste,frente,blanca,llendo,fresca,fresco,cristo,brinco,presto,brilla,granbe,granja,brillo,crande,trarde,gronde,prendo,xvicky,llanna,byanka,vlanco,dlanca,granga,llallo,cricri,brinca,brenda,lluvya,crello,charco,tronco,chillo,cripta,flecha,plasma,llanto,rralla,Total
cuentos_4,0.045454545454545456,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091
cuentos_5,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.06818181818181818
cuentos_6,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.022727272727272728,0.0,0.0,0.0,0.06818181818181818
cuentos_7,0.0,0.0,0.022727272727272728,0.0,0.045454545454545456,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11363636363636363
excale_1,0.0,0.046153846153846156,0.0,0.0,0.0,0.0,0.015384615384615385,0.0,0.0,0.0,0.0,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693
excale_2,0.03076923076923077,0.07692307692307693,0.0,0.015384615384615385,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015384615384615385,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18461538461538463
excale_3,0.0,0.16923076923076924,0.0,0.06153846153846154,0.0,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24615384615384617
excale_4,0.0,0.16923076923076924,0.0,0.0,0.0,0.0,0.03076923076923077,0.0,0.0,0.0,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078
excale_5,0.0,0.06153846153846154,0.0,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693
excale_6,0.0,0.06153846153846154,0.0,0.03076923076923077,0.0,0.0,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1076923076923077
excale_7,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693
Total,0.8954626768580257,0.8042445926166857,0.17653276955602537,0.14580419580419582,0.1744755244755245,0.10682224751992195,0.06735241502683363,0.034355179704016914,0.034355179704016914,0.06818181818181818,0.03811188811188811,0.03811188811188811,0.045454545454545456,0.011627906976744186,0.02119856887298748,0.045454545454545456,0.011627906976744186,0.005813953488372093,0.005813953488372093,0.005813953488372093,0.005813953488372093,0.005813953488372093,0.005813953488372093,0.005813953488372093,0.005813953488372093,0.005813953488372093,0.005813953488372093,0.022727272727272728,0.005813953488372093,0.005813953488372093,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.005813953488372093,3.0000000000000004
