,lluvia,llovio,llovia,gloria,llubia,propio,propia,gracia,llobio,bloque,precio,grecia,thania,trapeo,vrisio,rresio,mxejia,rrecio,premio,llegua,rracao,tregua,trofeo,craneo,crecio,blaqui,Total
cuentos_4,0.0,0.0,0.0,0.0,0.0,0.006024096385542169,0.0,0.006024096385542169,0.0,0.0,0.006024096385542169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006024096385542169,0.0,0.024096385542168676
cuentos_5,0.0,0.0,0.0,0.0,0.0,0.0,0.012048192771084338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012048192771084338
cuentos_6,0.0,0.0,0.0,0.0,0.0,0.0,0.006024096385542169,0.0,0.0,0.0,0.006024096385542169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006024096385542169,0.0,0.0,0.018072289156626505
cuentos_7,0.006024096385542169,0.0,0.0,0.0,0.0,0.0,0.006024096385542169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012048192771084338
excale_1,0.018072289156626505,0.006024096385542169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024096385542168676
excale_2,0.12048192771084337,0.012048192771084338,0.012048192771084338,0.0,0.006024096385542169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15060240963855423
excale_3,0.14457831325301204,0.012048192771084338,0.018072289156626505,0.0,0.018072289156626505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1927710843373494
excale_4,0.09036144578313253,0.024096385542168676,0.0,0.0,0.006024096385542169,0.0,0.0,0.0,0.012048192771084338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006024096385542169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13855421686746988
excale_5,0.08433734939759036,0.006024096385542169,0.006024096385542169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0963855421686747
excale_6,0.09036144578313253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09036144578313253
excale_7,0.06626506024096386,0.006024096385542169,0.006024096385542169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0783132530120482
Total,0.6445783132530121,0.06626506024096386,0.04216867469879518,0.030120481927710843,0.030120481927710843,0.024096385542168676,0.024096385542168676,0.012048192771084338,0.012048192771084338,0.012048192771084338,0.012048192771084338,0.006024096385542169,0.006024096385542169,0.006024096385542169,0.006024096385542169,0.006024096385542169,0.006024096385542169,0.006024096385542169,0.006024096385542169,0.006024096385542169,0.006024096385542169,0.006024096385542169,0.006024096385542169,0.006024096385542169,0.006024096385542169,0.006024096385542169,1.0
