,llama,llego,llevo,llamo,grado,llebo,lleva,grito,bruja,llega,primo,prima,choco,lleba,clase,lleno,breve,clima,llomo,rrosa,trato,playa,llena,chile,globo,frida,brabo,trigo,chopo,lloro,grupo,plata,chica,chico,lloma,llano,claro,cruzo,fruta,cruso,creyo,llege,chita,flaca,clara,blusa,brisa,plaza,flaco,brazo,prisa,braya,trata,grade,kyara,trajo,fresa,chava,bravo,chona,trate,profe,llana,plasa,prepa,chaba,trese,chepi,traxi,traje,plana,nmama,llobe,trejo,churo,lleni,chata,pluma,cvupo,clace,crado,rriva,chima,preba,traba,gruta,trota,clave,flota,cruza,llaga,llora,fluyo,cruda,trama,brete,brota,flojo,brujo,plena,lleve,llubi,traya,mxama,flore,floto,rriba,choca,china,chebo,llago,cnebo,chego,llore,grita,llove,stava,slone,Total
cuentos_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009950248756218905,0.0009950248756218905,0.0,0.0,0.0,0.0,0.0,0.0009950248756218905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009950248756218905,0.0009950248756218905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004975124378109453
cuentos_5,0.0,0.0009950248756218905,0.0,0.0,0.0,0.0,0.0009950248756218905,0.0,0.0,0.0009950248756218905,0.0,0.0,0.0,0.0,0.0,0.0,0.0009950248756218905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009950248756218905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009950248756218905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009950248756218905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006965174129353234
cuentos_6,0.0,0.0,0.0009950248756218905,0.0,0.0,0.0,0.0,0.0,0.0,0.0009950248756218905,0.0,0.0,0.0,0.0,0.0,0.0009950248756218905,0.0009950248756218905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009950248756218905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009950248756218905,0.0009950248756218905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006965174129353234
cuentos_7,0.0,0.0009950248756218905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009950248756218905,0.0009950248756218905,0.0,0.0,0.0,0.0,0.0,0.0009950248756218905,0.0009950248756218905,0.0,0.0,0.0009950248756218905,0.0,0.0009950248756218905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009950248756218905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009950248756218905,0.0009950248756218905,0.0009950248756218905,0.0009950248756218905,0.0009950248756218905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009950248756218905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013930348258706468
excale_1,0.0,0.004975124378109453,0.001990049751243781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009950248756218905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009950248756218905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009950248756218905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009950248756218905
excale_2,0.0,0.024875621890547265,0.026865671641791045,0.0,0.0,0.0009950248756218905,0.001990049751243781,0.0,0.0,0.0009950248756218905,0.0,0.0,0.001990049751243781,0.0,0.0,0.0,0.0,0.001990049751243781,0.0,0.0,0.0009950248756218905,0.0009950248756218905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009950248756218905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009950248756218905,0.0,0.0,0.0,0.0,0.0,0.0,0.0009950248756218905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009950248756218905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06567164179104477
excale_3,0.0009950248756218905,0.023880597014925373,0.025870646766169153,0.0,0.0,0.004975124378109453,0.003980099502487562,0.001990049751243781,0.0,0.001990049751243781,0.0,0.0,0.0009950248756218905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009950248756218905,0.0009950248756218905,0.0009950248756218905,0.0009950248756218905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06865671641791045
excale_4,0.0,0.023880597014925373,0.03482587064676617,0.0,0.0009950248756218905,0.009950248756218905,0.001990049751243781,0.006965174129353234,0.0,0.0,0.0,0.0,0.001990049751243781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009950248756218905,0.0,0.0,0.0,0.0009950248756218905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001990049751243781,0.0,0.0,0.001990049751243781,0.0009950248756218905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009950248756218905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009950248756218905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009950248756218905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009950248756218905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09154228855721393
excale_5,0.0,0.010945273631840797,0.013930348258706468,0.0,0.0,0.0009950248756218905,0.0,0.001990049751243781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009950248756218905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009950248756218905,0.0009950248756218905,0.0,0.030845771144278607
excale_6,0.0,0.008955223880597015,0.007960199004975124,0.0,0.0,0.001990049751243781,0.0,0.0,0.0,0.0,0.0,0.0,0.0009950248756218905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009950248756218905,0.0,0.0,0.0,0.0009950248756218905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009950248756218905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009950248756218905,0.0,0.0009950248756218905,0.0009950248756218905,0.0009950248756218905,0.0009950248756218905,0.0,0.0,0.0,0.027860696517412936
