,la,de,se,mi,su,me,lo,no,yo,le,ya,tu,si,te,ni,ha,da,va,ba,ve,ti,ce,he,co,ma,na,go,mo,fe,sa,so,ca,ta,pa,do,yu,pe,mu,to,vi,di,yi,li,re,fu,ho,qe,ye,vo,po,jo,ci,bo,xi,qo,gu,bi,fa,be,ri,cu,pi,qi,gy,ro,ge,ju,my,Total
cuentos_4,0.007984031936127744,0.012451287900389697,0.001710863986313088,0.00047523999619808005,0.0024712479802300163,0.000380191996958464,0.0012356239901150081,0.0018059119855527042,0.000190095998479232,0.000380191996958464,0.000380191996958464,9.5047999239616e-05,0.000190095998479232,0.0,0.000380191996958464,9.5047999239616e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000190095998479232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030415359756677123
cuentos_5,0.007318695941450432,0.014827487881380098,0.003041535975667712,0.000380191996958464,0.0012356239901150081,0.0,0.001520767987833856,0.001615815987073472,0.00047523999619808005,0.000190095998479232,0.000190095998479232,0.0,0.000380191996958464,0.0,9.5047999239616e-05,0.000760383993916928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03203117574375059
cuentos_6,0.010645375914836993,0.014067103887463168,0.001615815987073472,0.00047523999619808005,0.0006653359946773121,0.0,0.00142571998859424,0.00142571998859424,9.5047999239616e-05,0.00047523999619808005,0.0006653359946773121,0.0011405759908753922,0.00028514399771884804,9.5047999239616e-05,0.00028514399771884804,0.000855431993156544,9.5047999239616e-05,9.5047999239616e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5047999239616e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03450242372398061
cuentos_7,0.006843455945252352,0.017583879859328962,0.001520767987833856,0.003231631974146944,0.00047523999619808005,0.000760383993916928,0.0006653359946773121,0.000380191996958464,0.00047523999619808005,9.5047999239616e-05,0.0,0.000190095998479232,0.000380191996958464,0.0,0.0009504799923961601,0.0,0.0,9.5047999239616e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000380191996958464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03402718372778253
excale_1,0.0023761999809904003,0.002756391977948864,0.002946487976428096,9.5047999239616e-05,0.002946487976428096,0.0,0.001615815987073472,0.00047523999619808005,0.0,0.001045527991635776,0.0,9.5047999239616e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014352247885182016
excale_2,0.006178119950575041,0.006273167949814656,0.011976047904191617,0.000380191996958464,0.008269175933846592,0.00047523999619808005,0.00570287995437696,0.002091055983271552,0.000190095998479232,0.0026613439787092482,0.001045527991635776,0.0,0.00028514399771884804,0.00028514399771884804,0.0,9.5047999239616e-05,0.0,0.000190095998479232,9.5047999239616e-05,0.000190095998479232,9.5047999239616e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5047999239616e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046573519627411845
excale_3,0.006273167949814656,0.006843455945252352,0.01568291987453664,9.5047999239616e-05,0.009409751924721984,0.000190095998479232,0.0049424959604600326,0.0023761999809904003,0.0,0.002091055983271552,0.0009504799923961601,9.5047999239616e-05,0.000760383993916928,0.0,0.000190095998479232,0.0,0.0,0.000190095998479232,9.5047999239616e-05,0.000190095998479232,0.0,0.0,0.0,0.0,0.0,9.5047999239616e-05,0.0,0.0,0.0,0.0,0.0,9.5047999239616e-05,0.0,9.5047999239616e-05,0.000190095998479232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5047999239616e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05094572759243418
excale_4,0.007793935937648513,0.010740423914076608,0.02499762380001901,0.0005702879954376961,0.014257199885942401,0.0005702879954376961,0.010170135918638913,0.004562303963501569,0.0,0.00522763995817888,0.0023761999809904003,0.000190095998479232,0.000855431993156544,0.000190095998479232,0.0,0.000190095998479232,9.5047999239616e-05,9.5047999239616e-05,0.000190095998479232,0.000190095998479232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5047999239616e-05,0.0,0.0,0.0,9.5047999239616e-05,0.0,9.5047999239616e-05,0.0,9.5047999239616e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5047999239616e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0837372873301017
excale_5,0.00427715996578272,0.004752399961980801,0.009124607927003137,0.0,0.00665335994677312,9.5047999239616e-05,0.0038969679688242564,0.0021861039825111683,9.5047999239616e-05,0.0022811519817507843,0.0009504799923961601,0.0,9.5047999239616e-05,0.0,0.0,0.0,0.0,0.0,9.5047999239616e-05,0.0,0.0,0.0,0.0,0.0,9.5047999239616e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034597471723220224
excale_6,0.00427715996578272,0.003421727972626176,0.008269175933846592,0.0,0.004182111966543104,0.0,0.0025662959794696323,0.001710863986313088,0.000190095998479232,0.0022811519817507843,0.000190095998479232,9.5047999239616e-05,0.00028514399771884804,0.0,9.5047999239616e-05,0.0,0.0,9.5047999239616e-05,0.000190095998479232,9.5047999239616e-05,9.5047999239616e-05,0.0,0.0,0.0,0.0,0.0,9.5047999239616e-05,0.0,0.0,0.0,0.0,0.0,9.5047999239616e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.5047999239616e-05,0.0,0.0,0.0,0.0,9.5047999239616e-05,0.0,0.0,9.5047999239616e-05,9.5047999239616e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028609447771124417
