,Ceele_1,Ceele_2,Ceele_3,Ceele_4,Ceele_5,Ceele_6,Ceele_7,cuentos_1,cuentos_2,cuentos_3,cuentos_4,cuentos_5,cuentos_6,cuentos_7,excale_1,excale_2,excale_3,excale_4,excale_5,excale_6,excale_7
cr,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fin,0,0,6,3,2,3,8,0,5,4,2,1,1,1,9,27,30,19,7,6,4
ien,0,0,0,1,0,0,2,0,2,3,2,0,1,2,0,2,0,4,0,1,0
mun,0,3,0,4,3,1,4,0,2,5,1,2,5,0,0,0,2,3,0,0,0
bl,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bri,0,1,1,5,1,3,7,2,6,0,2,1,0,5,5,29,34,46,19,13,9
pei,0,0,1,1,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0
tai,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
guz,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sai,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sia,0,6,1,3,0,1,6,0,1,2,1,0,1,3,1,0,5,3,2,0,4
buen,0,1,0,1,0,0,0,0,2,1,1,1,0,8,1,0,0,1,0,0,0
vie,0,1,1,8,2,0,10,4,5,4,6,3,0,2,2,3,2,7,4,1,5
ol,0,0,4,2,1,2,1,0,1,3,0,0,0,1,0,1,0,0,0,1,0
gax,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pos,0,1,0,2,2,0,5,0,0,1,2,4,5,3,0,0,0,1,1,0,0
tion,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
pob,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leg,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
liv,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lot,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xe,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nom,0,1,4,3,2,1,3,1,1,1,1,1,1,1,0,0,0,1,0,0,0
said,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
nav,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rem,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hai,0,0,0,2,0,0,5,0,0,0,0,0,0,1,1,3,2,2,1,1,1
tur,0,1,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0
fer,0,3,7,4,1,2,2,0,2,0,0,0,1,1,3,3,0,2,0,0,0
tenc,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nax,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pral,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vaj,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ens,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pun,0,0,2,2,0,0,5,0,6,2,1,4,3,1,0,0,0,1,0,0,0
dair,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rid,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
teg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ul,0,1,1,2,0,0,0,1,0,3,2,5,3,1,1,0,1,1,2,1,0
col,0,0,0,1,0,0,1,1,1,1,1,0,0,2,0,1,1,0,0,0,0
zar,0,0,0,4,0,0,0,0,1,0,6,2,1,6,0,0,0,0,0,0,0
max,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gap,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dul,0,1,2,5,3,5,12,1,1,2,0,0,0,0,0,0,1,0,0,0,0
diar,0,2,1,3,3,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0
et,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lie,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1
lais,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fie,0,1,3,1,0,0,5,0,1,1,0,1,2,0,0,0,0,0,0,0,0
guj,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lou,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
q,0,0,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blo,0,1,4,5,11,2,8,3,3,1,0,1,0,0,1,3,0,5,1,5,2
cuel,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tua,0,0,0,1,0,1,0,0,0,1,2,1,0,2,0,0,0,0,0,0,0
cav,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nor,0,1,2,1,0,0,2,0,3,7,5,2,5,2,0,1,0,4,0,0,1
vai,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
nuen,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zet,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drio,0,0,0,1,2,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
ler,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
lim,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
br,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tian,0,0,2,2,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plan,0,0,3,1,1,0,2,1,0,4,0,7,1,1,0,1,0,0,0,0,1
duer,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
duar,0,0,1,2,1,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0
chez,0,2,3,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
it,0,0,6,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ob,0,0,0,1,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0
cin,0,1,0,1,0,0,4,4,0,0,0,0,1,3,0,0,1,1,0,0,0
yut,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zil,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tux,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lau,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
raz,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
am,0,3,4,1,0,3,2,0,0,2,1,2,2,1,0,0,0,1,0,0,0
bur,0,2,2,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0
rial,0,0,0,1,2,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0
bel,0,0,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bos,0,2,2,1,0,1,4,0,3,2,1,0,1,1,0,0,2,0,0,3,0
cun,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
cy,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sias,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
cus,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rrien,0,1,1,1,0,1,2,0,0,0,2,0,0,0,3,3,3,4,0,1,1
pal,0,0,0,1,0,1,5,0,2,0,2,1,0,0,0,0,0,0,1,0,0
vol,0,0,0,1,2,1,2,0,5,1,3,0,1,3,1,6,9,5,5,0,2
qan,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cien,0,1,0,1,1,0,2,4,3,6,4,13,3,4,1,1,4,5,1,0,1
blas,0,0,0,1,0,3,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2
mul,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
gual,0,0,0,2,2,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0
mia,0,1,2,1,1,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0
guel,0,0,4,1,2,1,3,0,0,0,0,4,0,0,0,4,0,0,0,0,2
dal,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
gria,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
duich,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cuer,0,0,0,1,0,0,1,2,0,4,3,2,7,2,0,0,0,0,0,1,0
vue,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,1,0,1,0,0,0
yos,0,1,0,1,4,1,3,0,1,1,0,1,2,0,0,0,0,0,0,0,1
mio,0,2,1,2,2,3,4,3,1,0,1,2,0,0,0,1,2,2,0,0,0
lik,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
th,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ka,0,1,3,1,2,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flau,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fris,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ins,0,0,0,1,0,0,0,0,2,0,0,7,2,2,0,1,0,1,0,0,0
gui,0,1,3,5,0,2,5,0,1,1,2,1,0,2,0,0,2,1,3,0,0
mue,0,0,0,1,0,0,0,7,0,2,0,0,0,2,0,0,0,0,0,0,0
bles,0,1,1,3,0,0,2,0,1,5,5,0,2,0,0,0,0,0,0,0,0
jen,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1
pien,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0
dem,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vir,0,0,2,1,0,0,1,6,3,1,1,1,0,0,0,0,1,1,1,0,1
doc,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
fru,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0
clu,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
blar,0,0,0,2,0,0,0,2,1,0,1,0,0,0,0,1,0,1,0,0,0
cous,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ceis,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lun,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
yon,0,1,0,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ton,0,0,5,1,0,1,2,7,3,2,1,0,0,3,6,20,21,46,9,30,6
pur,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
escr,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nian,0,0,0,1,0,0,0,1,0,3,0,0,0,1,0,1,1,0,0,0,0
nir,0,0,1,1,0,1,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0
siu,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
f,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ruis,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ng,0,1,0,1,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0
pau,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
nia,0,1,7,1,4,1,17,4,3,8,6,5,2,3,0,0,9,12,7,2,2
rrez,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nus,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tia,0,0,5,1,0,2,16,0,3,1,1,1,4,2,0,1,1,2,2,0,0
yr,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sei,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
jau,0,1,1,4,0,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0
piar,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
sien,0,0,0,3,1,4,0,4,3,1,1,0,0,1,0,1,0,1,0,0,0
guar,0,0,0,2,1,1,1,1,0,2,3,0,2,1,0,1,0,0,0,0,0
yar,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naz,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
zer,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aun,0,0,0,1,0,0,1,3,4,1,3,4,1,0,0,0,0,3,0,0,1
rie,0,0,4,1,1,3,2,0,2,0,0,4,0,2,0,0,0,0,0,0,0
mox,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cros,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
cios,0,0,0,1,1,0,3,0,1,1,2,0,0,0,0,0,0,0,0,0,0
vos,0,2,1,1,0,2,2,0,1,1,4,1,3,2,0,0,0,0,0,0,0
vic,0,2,0,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tez,0,0,1,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
luiz,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drios,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clac,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cans,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qe,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
lex,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bug,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cria,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
brie,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ez,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gail,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fud,0,0,2,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qued,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vis,0,0,1,2,0,0,2,5,1,1,4,0,1,7,0,1,1,0,1,1,0
vu,0,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bid,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bran,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
qu,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1
vexs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sil,0,0,0,0,2,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tue,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hat,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nuesx,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mir,0,0,3,0,1,0,1,0,3,1,1,0,0,1,0,0,1,1,0,0,0
blan,0,0,1,0,1,1,4,0,9,0,2,0,0,3,0,0,2,1,0,0,1
ded,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nuz,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qi,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mui,0,0,1,0,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8
rs,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pol,0,0,0,0,1,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0
ges,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
tlan,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mez,0,1,0,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0
moi,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mios,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
nc,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
sios,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vienr,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glas,0,0,1,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
duit,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ct,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fuen,0,0,0,0,1,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0
fuer,0,0,0,0,1,0,0,0,3,1,2,2,0,0,9,26,31,57,21,15,13
mag,0,0,0,0,2,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
cel,0,0,2,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
zai,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bon,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yam,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pris,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
gri,0,0,0,0,1,0,4,0,4,1,1,0,1,0,0,1,4,12,2,1,1
pio,0,0,0,0,1,0,4,4,1,2,1,2,2,1,0,1,3,1,2,1,0
tec,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mual,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
non,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
gor,0,0,2,0,2,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0
ris,0,0,4,0,2,0,3,2,0,1,1,2,1,3,1,4,4,5,2,2,1
gron,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gem,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bal,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,4,0,0,0,0
cui,0,1,0,0,1,0,0,3,1,0,0,4,0,0,0,0,1,1,0,1,0
tron,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
yi,0,2,0,0,1,1,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0
vid,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
nd,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ent,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bom,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chu,0,1,0,0,1,0,3,2,6,3,0,0,0,0,0,0,0,0,0,0,0
tias,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quo,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ney,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glar,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rruis,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seis,0,0,0,0,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
gum,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tex,0,0,0,0,1,0,0,0,0,1,4,6,1,0,0,0,0,0,0,0,0
us,0,0,0,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rey,0,0,0,0,1,0,2,0,0,1,0,0,2,2,0,0,0,0,0,0,0
jes,0,0,1,0,2,0,4,0,0,0,2,0,1,1,0,0,0,0,0,0,0
mn,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chech,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chis,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0
we,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cru,0,1,1,0,1,1,2,0,1,1,3,0,1,1,0,0,0,2,0,0,0
ches,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
voi,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
berh,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brar,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
cil,0,0,0,0,1,0,0,0,1,2,1,1,0,0,0,1,0,0,0,0,0
raul,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cay,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
yen,0,0,0,0,1,0,0,2,0,1,1,0,1,0,0,0,1,1,0,1,1
quen,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nt,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nien,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
tann,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
has,0,0,0,0,1,0,1,7,2,5,3,1,2,2,1,13,15,22,11,5,1
tub,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dr,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
rn,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gt,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gi,0,1,1,0,1,1,3,1,3,4,3,3,10,7,2,0,1,2,1,0,0
dier,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
esc,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gles,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ker,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bei,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cocc,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
im,0,0,0,0,1,1,1,0,3,5,6,8,8,2,0,1,0,3,2,2,0
sol,0,0,2,0,1,3,1,3,5,6,1,0,1,5,3,9,17,14,11,5,5
kar,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
guo,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nec,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
dey,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chor,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
rel,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
guay,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
crir,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
due,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
pil,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dua,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0
hor,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
wal,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cau,0,0,0,0,0,2,0,0,2,3,1,1,1,1,0,0,0,0,0,0,0
cuau,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
esx,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zi,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
lui,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
compr,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crio,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eo,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cles,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mig,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
futl,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boll,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yeg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bloll,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pitt,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rom,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0
pen,0,0,0,0,0,2,1,2,9,4,3,2,2,6,2,12,19,25,7,5,11
teh,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dir,0,0,0,0,0,2,3,0,0,4,0,0,0,1,0,0,0,0,0,0,0
ald,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rrios,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lley,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ki,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ram,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
gel,0,0,3,0,0,2,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0
vzl,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
