,Ceele_1,Ceele_2,Ceele_3,Ceele_4,Ceele_5,Ceele_6,Ceele_7,cuentos_1,cuentos_2,cuentos_3,cuentos_4,cuentos_5,cuentos_6,cuentos_7,excale_1,excale_2,excale_3,excale_4,excale_5,excale_6,excale_7
oc,1,2,2,2,3,0,2,0,0,0,0,6,0,0,0,0,0,1,0,0,0
bio,2,4,1,3,0,0,3,1,1,1,1,5,1,0,3,4,8,18,4,5,5
men,3,3,9,19,9,5,32,4,9,11,31,40,18,14,7,19,16,24,10,14,8
cha,6,10,24,40,18,26,61,5,7,9,13,5,10,1,0,0,2,0,1,2,3
pie,7,5,13,18,7,6,22,0,2,1,1,3,1,3,0,1,1,2,3,0,0
tu,7,16,29,39,22,21,61,19,20,11,23,42,36,18,3,5,8,16,5,5,6
lo,10,24,52,95,41,45,134,31,27,21,37,51,40,31,27,97,87,160,68,49,40
gran,4,7,20,42,15,18,48,1,2,2,5,6,1,3,2,5,1,3,2,2,3
ni,6,19,46,107,33,59,143,20,21,17,25,49,25,23,40,109,142,214,114,69,62
tie,6,39,77,124,53,56,114,9,6,3,5,2,8,5,0,2,4,3,4,2,6
ne,9,52,130,230,98,105,261,18,25,17,33,20,27,19,1,1,4,3,0,3,2
nas,3,4,10,27,10,10,27,4,4,7,2,3,3,10,11,28,45,35,28,9,12
dex,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mos,33,100,201,415,204,220,636,12,9,23,9,18,15,7,0,0,1,0,1,0,1
nos,18,60,81,207,76,88,284,19,13,27,12,20,22,5,0,2,5,6,7,0,2
ber,1,7,2,11,6,11,15,3,5,2,1,3,8,4,2,3,10,8,1,1,1
cho,2,10,15,20,12,12,51,25,6,6,5,4,5,2,2,22,33,37,13,11,16
dia,6,6,13,26,13,21,31,3,12,13,10,8,4,3,9,30,24,47,15,14,8
cri,4,7,11,25,13,14,47,3,0,1,4,7,7,1,0,0,0,0,0,0,0
bes,1,1,2,0,1,4,3,2,0,0,1,0,0,0,6,11,14,13,2,5,6
con,14,25,55,98,48,52,116,21,37,31,43,51,40,32,20,62,65,91,36,32,36
u,3,34,39,95,29,39,126,35,31,32,44,47,40,34,20,81,74,124,39,43,36
da,6,17,32,94,21,41,110,35,36,45,39,43,57,26,6,21,24,43,20,24,11
dra,1,2,6,8,7,4,10,0,1,0,1,1,3,3,0,0,0,0,0,0,0
ten,7,36,69,125,49,51,179,9,8,3,16,23,5,4,0,8,13,21,7,5,5
or,2,1,4,2,2,1,8,1,2,1,3,9,4,3,0,0,0,3,0,0,2
ya,3,8,28,53,19,18,65,8,9,10,6,3,8,3,1,16,11,29,11,3,9
mo,19,53,112,180,85,90,230,25,28,46,38,57,44,63,5,34,36,53,25,16,14
yan,1,0,3,2,4,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
nat,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
han,2,1,1,0,0,0,1,1,5,0,3,7,0,3,0,0,0,0,0,2,0
diaz,1,2,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tiz,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
qui,1,8,7,31,11,13,59,7,9,12,7,8,2,1,2,4,7,12,16,3,1
ser,1,5,10,19,12,13,33,4,3,8,4,0,6,9,0,1,4,1,1,1,2
er,3,13,14,28,13,18,61,0,0,2,3,0,0,0,1,1,6,6,4,1,6
jue,1,8,10,24,8,16,29,4,0,0,0,0,0,0,0,0,0,1,0,1,0
das,1,7,12,16,8,9,29,3,5,9,10,16,19,25,1,1,3,3,1,0,5
lli,1,0,1,1,1,2,4,10,2,2,0,0,1,0,1,0,0,0,0,0,2
sie,3,3,3,9,2,7,21,2,7,1,2,1,1,2,2,1,3,2,2,0,2
pi,5,14,26,56,18,30,70,12,6,11,11,7,8,12,0,8,5,12,4,1,1
j,1,3,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cey,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lia,3,2,3,20,5,9,9,1,0,0,1,0,1,0,0,1,9,10,1,3,1
za,2,6,16,20,12,12,34,1,17,14,15,22,19,20,0,3,5,6,2,0,0
san,3,7,18,23,14,2,26,1,4,2,6,2,5,6,0,1,0,2,0,0,0
cen,2,4,3,5,3,0,6,2,3,4,1,3,10,5,0,0,0,1,0,1,0
fa,2,8,22,24,8,16,35,3,6,6,3,3,2,5,0,1,5,9,1,4,2
bue,1,0,5,11,4,1,12,3,3,3,0,1,1,2,0,2,4,7,0,0,3
co,30,85,144,246,116,118,291,52,45,58,53,71,53,89,10,44,60,90,33,28,31
lor,1,0,0,10,3,3,17,1,2,4,3,0,5,5,0,0,0,1,0,0,0
gro,1,0,2,2,2,0,1,0,6,2,0,0,1,1,0,2,2,3,2,0,0
fal,1,2,0,0,0,0,1,2,0,0,3,0,1,0,0,0,0,0,0,0,0
