,Ceele_1,Ceele_2,Ceele_3,Ceele_4,Ceele_5,Ceele_6,Ceele_7,cuentos_1,cuentos_2,cuentos_3,cuentos_4,cuentos_5,cuentos_6,cuentos_7,excale_1,excale_2,excale_3,excale_4,excale_5,excale_6,excale_7,Total
ca,0.00022413419130937748,0.0003615067601764153,0.0008531559540163401,0.0019449063697491143,0.0008820764948304533,0.0008459258188128118,0.002364254211553756,0.00039765743619405683,0.00039765743619405683,0.0003615067601764153,0.0002892054081411322,0.0005784108162822645,0.0004844190586363965,0.0003687368953799436,0.00010845202805292459,0.0006724025739281325,0.0008386956836092835,0.0010772901453257177,0.0005277998698575663,0.0003615067601764153,0.000260284867327019,0.014199985539729593
sa,0.0001301424336635095,0.0003615067601764153,0.0008097751427951703,0.0016195502855903406,0.000636251897910491,0.0007157833851493023,0.0019232159641385295,0.00015183283927409441,0.0003470464897693587,0.00031089581375171716,0.00029643554334466055,0.00015183283927409441,0.0001229122984599812,0.00015906297447762274,0.00018798351529173595,0.0008459258188128118,0.001062829874918661,0.0013592654182633215,0.0005856409514857928,0.0003687368953799436,0.00031089581375171716,0.01245752295567927
toy,1.4460270407056612e-05,2.1690405610584918e-05,9.399175764586797e-05,0.0001301424336635095,6.507121683175475e-05,7.953148723881137e-05,0.00015183283927409441,7.230135203528306e-06,0.0,1.4460270407056612e-05,0.0,7.230135203528306e-06,0.0,0.0,0.0,7.230135203528306e-06,1.4460270407056612e-05,0.0,0.0,7.230135203528306e-06,7.230135203528306e-06,0.0006217916275034343
re,9.399175764586797e-05,0.00018798351529173595,0.00044826838261875497,0.0008531559540163401,0.00029643554334466055,0.0004771889234328682,0.000968838117272793,0.00018798351529173595,0.0003181259489552455,0.00022413419130937748,0.00026751500253054735,0.00033981635456583036,0.00032535608415877376,0.0003759670305834719,9.399175764586797e-05,0.0003181259489552455,0.0003615067601764153,0.0006290217627069626,0.00026751500253054735,0.0002385944617164341,0.00021690405610584918,0.007490420070855325
pu,7.230135203528306e-06,1.4460270407056612e-05,2.8920540814113223e-05,0.00010845202805292459,2.8920540814113223e-05,3.615067601764153e-05,0.00010845202805292459,0.0,2.1690405610584918e-05,2.1690405610584918e-05,4.3380811221169837e-05,3.615067601764153e-05,2.8920540814113223e-05,5.7841081628226447e-05,2.1690405610584918e-05,0.00010845202805292459,9.399175764586797e-05,0.00019521365049526425,8.676162244233967e-05,6.507121683175475e-05,4.3380811221169837e-05,0.001156821632564529
bli,7.230135203528306e-06,0.0,0.0,0.0,0.0,0.0,2.1690405610584918e-05,0.0,7.230135203528306e-06,7.230135203528306e-06,7.230135203528306e-06,1.4460270407056612e-05,1.4460270407056612e-05,7.230135203528306e-06,0.0,7.230135203528306e-06,0.0,0.0,0.0,0.0,0.0,9.399175764586797e-05
me,0.00018075338008820765,0.00044826838261875497,0.0009760682524763213,0.001561709203962114,0.0006073313570963777,0.0006073313570963777,0.001843684476899718,0.000260284867327019,0.0001373725688670378,0.0001301424336635095,0.00019521365049526425,0.00029643554334466055,0.0001229122984599812,0.0001229122984599812,7.230135203528306e-06,0.0001229122984599812,0.00010845202805292459,0.0001446027040705661,5.0610946424698145e-05,1.4460270407056612e-05,5.0610946424698145e-05,0.007989299399898777
xi,7.230135203528306e-06,7.230135203528306e-06,2.1690405610584918e-05,5.7841081628226447e-05,4.3380811221169837e-05,1.4460270407056612e-05,7.230135203528306e-05,0.0,1.4460270407056612e-05,0.0,0.0,2.8920540814113223e-05,3.615067601764153e-05,2.1690405610584918e-05,0.0,1.4460270407056612e-05,1.4460270407056612e-05,3.615067601764153e-05,0.0,0.0,0.0,0.0003904273009905285
na,8.676162244233967e-05,0.0002458245969199624,0.0005784108162822645,0.001229122984599812,0.000542260140264623,0.0007230135203528306,0.0016123201503868121,0.0003325862193623021,0.0005133395994505098,0.0003904273009905285,0.000614561492299906,0.000520569734654038,0.0005928710866893211,0.0004844190586363965,0.00015183283927409441,0.0006073313570963777,0.0005784108162822645,0.000990528522883378,0.0003325862193623021,0.0003687368953799436,0.00030366567854818883,0.011799580652158196
cue,0.0003325862193623021,0.0007880847371845854,0.0015761694743691708,0.0024004048875713975,0.0011640517677680572,0.0012363531198033404,0.0031017280023136434,7.953148723881137e-05,0.0,7.230135203528306e-06,7.230135203528306e-06,0.0,0.0,7.230135203528306e-06,7.230135203528306e-06,1.4460270407056612e-05,7.230135203528306e-06,1.4460270407056612e-05,7.230135203528306e-06,7.230135203528306e-06,2.1690405610584918e-05,0.010780131588460704
