,Ceele_1,Ceele_2,Ceele_3,Ceele_4,Ceele_5,Ceele_6,Ceele_7,cuentos_1,cuentos_2,cuentos_3,cuentos_4,cuentos_5,cuentos_6,cuentos_7,excale_1,excale_2,excale_3,excale_4,excale_5,excale_6,excale_7
afe,0.0004623208506703652,0.0,0.000253613999492772,4.605960112385427e-05,0.0,0.0,3.441748408191361e-05,0.0,0.0,0.0,0.00015748031496062991,0.0002581311306143521,0.00015723270440251572,0.0,0.0,0.0,0.0,0.0,0.00018796992481203009,0.0,0.00026588673225206064
afi,0.0,0.0,0.0,9.211920224770853e-05,0.00020868113522537563,0.0,0.0,0.0,0.0,0.00016812373907195696,0.00015748031496062991,0.0010325245224574084,0.00031446540880503143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
afo,0.0,0.00032273680813296756,0.00016907599966184801,9.211920224770853e-05,0.00010434056761268782,9.763718023823472e-05,0.00013766993632765445,0.0,0.0,0.0,0.00031496062992125983,0.0,0.0,0.0003109452736318408,0.0,0.0,0.0,0.0,0.0,0.0,0.00026588673225206064
afr,0.0,0.0,8.453799983092401e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
afu,0.0,0.0,0.0,4.605960112385427e-05,0.0,0.0,0.00010325245224574084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004054601973239627,0.000682360968952576,0.0007066028107089582,0.00037593984962406017,0.0002475860361475613,0.0
aga,0.0,0.00032273680813296756,8.453799983092401e-05,0.00023029800561927133,0.0007303839732888147,0.0,0.00034417484081913615,0.0,0.0001837897445322551,0.0003362474781439139,0.0,0.0002581311306143521,0.00031446540880503143,0.0004664179104477612,0.0,0.0008109203946479254,0.0007960877971113385,0.001020648504357384,0.0007518796992481203,0.0014855162168853676,0.00026588673225206064
age,0.0,0.00016136840406648378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00047244094488188977,0.0,0.00031446540880503143,0.0001554726368159204,0.0,0.0,0.00011372682815876265,0.0,0.0,0.0,0.0
agi,0.0,0.0,0.0,0.0,0.0,0.0,3.441748408191361e-05,0.0,0.0,0.0,0.00031496062992125983,0.00012906556530717606,0.0006289308176100629,0.0001554726368159204,0.0009881422924901185,0.0,0.00011372682815876265,0.00015702284682421293,0.00018796992481203009,0.0,0.0
agm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016812373907195696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agn,0.0,0.0,0.0,0.0,0.00020868113522537563,0.0,0.0,0.0,0.0,0.00016812373907195696,0.00015748031496062991,0.00012906556530717606,0.0,0.0003109452736318408,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ago,0.0,0.00016136840406648378,0.000507227998985544,0.0002763576067431256,0.00031302170283806343,0.00029291154071470416,0.00020650490449148167,0.0007154781779155736,0.0007351589781290203,0.0006724949562878278,0.00015748031496062991,0.0,0.00031446540880503143,0.0003109452736318408,0.0,0.00013515339910798757,0.0,7.851142341210646e-05,0.0,0.0002475860361475613,0.0005317734645041213
agr,0.0,0.0,0.0,0.0,0.00010434056761268782,0.0,0.0,0.0,0.0005513692335967653,0.0,0.00047244094488188977,0.0,0.00015723270440251572,0.000777363184079602,0.0,0.00013515339910798757,0.0,0.0,0.0,0.0,0.0
agu,0.0004623208506703652,0.0017750524447313217,0.001098993997802012,0.0011975496292202109,0.0013564273789649416,0.0014645577035735209,0.0013766993632765446,0.0023849272597185785,0.0003675794890645102,0.0006724949562878278,0.00015748031496062991,0.0,0.0004716981132075472,0.0004664179104477612,0.004446640316205534,0.005811596161643466,0.004776526782668032,0.004867708251550601,0.008082706766917294,0.006189650903689032,0.007444828503057698
aha,0.0,0.0,0.00016907599966184801,0.0,0.00010434056761268782,0.0,0.00013766993632765445,0.0,0.0,0.0,0.00015748031496062991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ahg,0.0,0.0,0.0,0.0,0.0,0.0,3.441748408191361e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ahi,0.0,0.00032273680813296756,0.00016907599966184801,0.0,0.00020868113522537563,0.0,0.00013766993632765445,0.0004769854519437157,0.0,0.00016812373907195696,0.0,0.0,0.00015723270440251572,0.0,0.0,0.00027030679821597514,0.0002274536563175253,0.00015702284682421293,0.0,0.0,0.00026588673225206064
ahl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001554726368159204,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004769854519437157,0.0001837897445322551,0.0006724949562878278,0.00015748031496062991,0.0,0.00031446540880503143,0.0004664179104477612,0.0,0.0,0.00011372682815876265,0.0,0.0,0.0,0.0
ahu,0.0,0.0,0.0,4.605960112385427e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013515339910798757,0.0,0.0,0.0,0.0,0.0
