,Ceele_1,Ceele_2,Ceele_3,Ceele_4,Ceele_5,Ceele_6,Ceele_7,cuentos_1,cuentos_2,cuentos_3,cuentos_4,cuentos_5,cuentos_6,cuentos_7,excale_1,excale_2,excale_3,excale_4,excale_5,excale_6,excale_7,Total
er,0.008300132802124834,0.009912674061836204,0.01092556955739028,0.010673011556764107,0.01116019530341781,0.009881708020773226,0.011251045282923245,0.017266655807134712,0.02147239263803681,0.02212004473716913,0.018192627824019026,0.01514998485001515,0.01950755322945165,0.017508094495742896,0.015050167224080268,0.01635819779398018,0.01816458695308798,0.017223580548763922,0.01663610165051087,0.012942779291553134,0.019676351599852888,0.3193734552286283
on,0.013612217795484728,0.013334906773660608,0.013346576447948353,0.013426240652617267,0.014027745485545997,0.014065204847085977,0.012771456807642603,0.010913829613943639,0.013336889837289943,0.014539579967689823,0.015219976218787158,0.01918998081001919,0.01665278934221482,0.0135507854658832,0.01705685618729097,0.012806131987287344,0.013662928447322698,0.012876935615321923,0.013099292638197537,0.01737057220708447,0.014343508642883413,0.2992044057912017
ra,0.010956175298804782,0.012508850601840924,0.015084735241169532,0.014581917063222297,0.012632721072618772,0.013704558568955569,0.013835744874946153,0.020687408372699136,0.020272072552680716,0.015409469367466136,0.018430439952437573,0.012826987173012828,0.016771737837516357,0.02026621897109965,0.010033444816053512,0.011123574499906525,0.010187963986731954,0.010975278456941049,0.012968299711815562,0.011069482288828338,0.01360794409709452,0.2979350248058419
ta,0.0099601593625498,0.014160962945480292,0.011422186355453473,0.011998640380693405,0.012400217003797566,0.012478361223312175,0.0140384664115754,0.01710376282782212,0.011336356361696453,0.013545420653659749,0.009869203329369797,0.01121098878901121,0.009991673605328892,0.012351600911380262,0.013377926421404682,0.016171246962048982,0.015716316537671773,0.016734582993751697,0.015719151165837046,0.017200272479564033,0.017653549098933432,0.28444104582034224
co,0.015272244355909695,0.015105027141845645,0.013843193246011546,0.013834126444595514,0.01441525226691467,0.01521927293710329,0.012644755847249322,0.01303143834500733,0.013203520938917045,0.012924071082390954,0.013436385255648038,0.015351984648015352,0.013203282978470322,0.01726825758484231,0.011036789297658863,0.010469246588147317,0.01066182277681251,0.010540613963596849,0.00995546240503013,0.010899182561307902,0.012872379551305628,0.2751883102167802
no,0.011288180610889775,0.014632995043662968,0.011111800856663977,0.013596193065941536,0.01131519801596528,0.011684939411425274,0.013075539112586474,0.011239615572568822,0.00933582288610296,0.01342115073940599,0.008799048751486327,0.008281991718008282,0.010110622100630427,0.007914618059719391,0.015384615384615385,0.014208263226771359,0.014452693097456958,0.015430589513719098,0.0180770238407126,0.015497275204359673,0.01636631114380287,0.2652244873564954
nt,0.00597609561752988,0.003658248760915742,0.0057110931777267365,0.005370496261046907,0.004960086801519026,0.004976918638199654,0.00595494513848415,0.009773578758755497,0.011336356361696453,0.015409469367466136,0.01676575505350773,0.01939198060801939,0.014035922445581063,0.012111764000479674,0.018060200668896322,0.018321181529257807,0.019033328068235666,0.018473240967128497,0.016374115797746922,0.0194141689373297,0.01746965796248621,0.26257860492200913
lo,0.01593625498007968,0.007434505546377154,0.008628716866348004,0.010027192386131882,0.0106951871657754,0.009881708020773226,0.01097230317005803,0.011076722593256231,0.011469725260069352,0.009444513483285696,0.011296076099881093,0.01222098777901222,0.012251695016058047,0.012231682455929968,0.018060200668896322,0.01691905028977379,0.013268046122255567,0.014941591958706873,0.014278228975635316,0.01345367847411444,0.01471129091577786,0.2591993582281962
ie,0.012284196547144754,0.014751003068208639,0.01260165125085356,0.01159075458871516,0.012865225141439975,0.01190132717830352,0.01059220028887819,0.011076722593256231,0.012536676447052548,0.01043867279731577,0.009512485136741973,0.008887991112008888,0.007850600689901273,0.008274373426070273,0.013377926421404682,0.012245279491493738,0.013268046122255567,0.013365933170334148,0.013099292638197537,0.01055858310626703,0.01360794409709452,0.244686885312938
do,0.0033200531208499337,0.004130280859098418,0.0055248618784530384,0.005438477226376614,0.006200108501898783,0.0062031159838430465,0.006385728403821301,0.013194331324319922,0.01200320085356095,0.015782279110227414,0.013436385255648038,0.009291990708009292,0.01260854050196265,0.013670703921333493,0.01705685618729097,0.016638624041876986,0.0157952930026852,0.019179570768812822,0.01991092481006026,0.014645776566757493,0.01360794409709452,0.24402504712398115
to,0.0073041168658698535,0.0059004012272834555,0.006021478676516233,0.005812372535690007,0.0055025962954351705,0.005409694171956145,0.006867192053315764,0.014823261117445839,0.008668978394238464,0.009941593140300733,0.01093935790725327,0.010402989597010403,0.009040085642916617,0.00599592277251469,0.017725752508361205,0.019910263600673023,0.017532775232980573,0.018636240152132572,0.017160073356038773,0.02060626702997275,0.01746965796248621,0.24167107024039178
qu,0.006640106241699867,0.010030682086381875,0.008504562666832206,0.008599592114208021,0.008835154615205766,0.007862088863242932,0.007652738007754099,0.020687408372699136,0.01720458789010403,0.014539579967689823,0.01070154577883472,0.010705989294010705,0.012251695016058047,0.006235759683415278,0.013043478260869565,0.01346045989904655,0.012004422682040753,0.012985601738657973,0.013492271417343464,0.013113079019073569,0.012872379551305628,0.24142318316647401
se,0.0063081009296148734,0.010148690110927543,0.00800794586876901,0.009687287559483344,0.009300162752848175,0.00894402769763416,0.0119098902769683,0.009284899820817722,0.010536142971459056,0.009195973654778178,0.007966706302021403,0.007372992627007373,0.0077316521945997385,0.009113802614222328,0.01471571906354515,0.014208263226771359,0.015874269467698626,0.018690573213800597,0.015719151165837046,0.019243869209809264,0.015079073188672305,0.23903919391728556
un,0.00398406374501992,0.00531036110455511,0.004593705382084549,0.005642420122365738,0.0045725800201503524,0.0049047893825735715,0.006385728403821301,0.011076722593256231,0.01200320085356095,0.013793960482167267,0.013436385255648038,0.009594990405009595,0.0107053645771381,0.007914618059719391,0.01906354515050167,0.0179472798653954,0.01721686937292687,0.017658245042108122,0.014802200681163218,0.017200272479564033,0.01710187568959176,0.2349091786683212
mo,0.017264276228419653,0.01817323578003304,0.019678440623254082,0.020564242012236573,0.02247539331938309,0.02272071552221581,0.022274028837138585,0.006678612151816257,0.005734862630034676,0.009195973654778178,0.006302021403091558,0.007776992223007777,0.007255858213393601,0.009353639525122916,0.005351170568561873,0.005047672462142457,0.005844258410993524,0.004944308611790274,0.005894681687188891,0.004087193460490463,0.005332842956969474,0.23195042028206278
