,x,s,h,n,m,d,c,v,t,l,p,b,g,j,r,k,q,z,f,w,Total
cuentos_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_5,0.0035149384885764497,0.005272407732864675,0.0,0.0,0.0017574692442882249,0.005272407732864675,0.0,0.0,0.0035149384885764497,0.0,0.0017574692442882249,0.0,0.0,0.0,0.0,0.0017574692442882249,0.0,0.0,0.0,0.0017574692442882249,0.02460456942003515
cuentos_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017574692442882249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017574692442882249
cuentos_7,0.0,0.015817223198594025,0.0,0.0,0.0,0.0,0.0,0.0017574692442882249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01757469244288225
excale_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_3,0.0017574692442882249,0.0017574692442882249,0.0,0.0,0.0,0.0,0.0,0.0017574692442882249,0.0,0.0,0.0,0.0,0.0035149384885764497,0.0,0.0,0.0,0.0,0.0017574692442882249,0.0,0.0017574692442882249,0.012302284710017574
excale_4,0.0,0.0,0.0017574692442882249,0.005272407732864675,0.0,0.0017574692442882249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008787346221441126
excale_5,0.0,0.005272407732864675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005272407732864675
excale_6,0.0,0.0,0.0,0.0,0.0,0.0017574692442882249,0.0017574692442882249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035149384885764497
excale_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017574692442882249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017574692442882249,0.0,0.0,0.0035149384885764497
Total,0.46397188049209137,0.08084358523725835,0.05799648506151142,0.04569420035149385,0.04569420035149385,0.03866432337434095,0.029876977152899824,0.029876977152899824,0.029876977152899824,0.029876977152899824,0.026362038664323375,0.02460456942003515,0.022847100175746926,0.015817223198594025,0.014059753954305799,0.012302284710017574,0.012302284710017574,0.01054481546572935,0.005272407732864675,0.0035149384885764497,1.0
