,es,en,el,un,al,ar,em,er,in,an,as,or,ir,ex,im,os,ul,am,ac,oc,on,is,ol,it,ad,ab,ob,ed,us,ig,ah,ec,at,yr,et,om,eh,ez,av,ur,ot,ys,aq,ip,ic,yt,ej,ov,yv,oh,op,iz,ap,Total
cuentos_4,0.006638557459406118,0.0054723243922131515,0.006369426751592357,0.0030501480218892976,0.003588409437516821,0.00017942047187584104,0.00017942047187584104,0.00026913070781376156,0.002063335426572172,0.0007176818875033642,0.00026913070781376156,0.00026913070781376156,0.00026913070781376156,0.0004485511796896026,0.0005382614156275231,0.00017942047187584104,0.00017942047187584104,8.971023593792052e-05,0.00026913070781376156,0.0,0.0,0.0,0.0,0.0,0.00017942047187584104,0.00026913070781376156,0.0003588409437516821,0.0,0.0,0.0,0.0,0.0,8.971023593792052e-05,0.0,0.0,0.0,0.0,0.0,0.0,8.971023593792052e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.971023593792052e-05,0.0,0.03211626446577554
cuentos_5,0.00690768816721988,0.009150444065667892,0.005741455100026913,0.0021530456625100925,0.0023324661343859334,0.0008073921234412846,0.0004485511796896026,0.0,0.002063335426572172,0.0009868125953171258,0.00017942047187584104,0.0008073921234412846,0.0,0.0011662330671929667,0.0007176818875033642,0.00026913070781376156,0.0004485511796896026,0.00017942047187584104,0.0003588409437516821,0.0005382614156275231,8.971023593792052e-05,0.0,0.0,0.0,8.971023593792052e-05,0.00017942047187584104,0.00026913070781376156,8.971023593792052e-05,0.0,8.971023593792052e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03606351484704405
cuentos_6,0.005382614156275231,0.008073921234412846,0.0054723243922131515,0.0025118866062617744,0.0026913070781376153,0.0008971023593792052,0.0003588409437516821,0.0,0.002601596842199695,0.0008971023593792052,0.00026913070781376156,0.0003588409437516821,0.0,0.00026913070781376156,0.0007176818875033642,0.0,0.00026913070781376156,0.00017942047187584104,8.971023593792052e-05,0.0,0.0,0.00017942047187584104,0.0,0.0,8.971023593792052e-05,8.971023593792052e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.971023593792052e-05,8.971023593792052e-05,0.0,0.0,0.031578003050148025
cuentos_7,0.004036960617206423,0.004934062976585629,0.006190006279716516,0.0026913070781376153,0.002422176370323854,0.0007176818875033642,0.00026913070781376156,0.0,0.0018839149546963309,0.0004485511796896026,0.00026913070781376156,0.00026913070781376156,0.0,0.00017942047187584104,0.00017942047187584104,0.00017942047187584104,8.971023593792052e-05,8.971023593792052e-05,0.0,0.0,0.0,8.971023593792052e-05,8.971023593792052e-05,0.0,8.971023593792052e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025118866062617744
excale_1,0.0014353637750067283,0.0026913070781376153,0.004036960617206423,0.003139858257827218,0.0010765228312550462,0.0004485511796896026,0.0004485511796896026,8.971023593792052e-05,8.971023593792052e-05,0.00017942047187584104,8.971023593792052e-05,0.0,0.00026913070781376156,0.0,0.0,0.0,8.971023593792052e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014084507042253521
excale_2,0.006997398403157801,0.006100296043778595,0.014891899165694805,0.009329864537543734,0.003588409437516821,0.0014353637750067283,0.002781017314075536,8.971023593792052e-05,8.971023593792052e-05,0.00026913070781376156,0.0012559433031308872,0.0,0.0007176818875033642,0.0,8.971023593792052e-05,8.971023593792052e-05,0.0,0.0,0.0,0.0,0.0,8.971023593792052e-05,8.971023593792052e-05,0.0,8.971023593792052e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.971023593792052e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048084686462725394
excale_3,0.008073921234412846,0.006369426751592357,0.016506683412577376,0.01220059208755719,0.005023773212523549,0.0017044944828204897,0.002960437785951377,0.0005382614156275231,0.00026913070781376156,0.00017942047187584104,0.0015250740109446488,0.0,0.0003588409437516821,8.971023593792052e-05,0.0,0.0,8.971023593792052e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055889476989324484
excale_4,0.012559433031308872,0.010854938548488383,0.02592625818605903,0.016596393648515294,0.005651744864088992,0.0023324661343859334,0.004306091325020185,0.0005382614156275231,0.0005382614156275231,0.0009868125953171258,0.0013456535390688076,0.00026913070781376156,0.0007176818875033642,8.971023593792052e-05,0.00026913070781376156,0.0,8.971023593792052e-05,8.971023593792052e-05,0.0,8.971023593792052e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08325109895039023
excale_5,0.0037678299093926618,0.003139858257827218,0.013097694446936396,0.006459136987530277,0.002422176370323854,0.0010765228312550462,0.0017044944828204897,0.0003588409437516821,0.0,8.971023593792052e-05,0.0014353637750067283,0.0,0.00026913070781376156,0.0004485511796896026,0.00017942047187584104,0.0,0.00017942047187584104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.971023593792052e-05,0.0,0.0,0.0,0.0,0.03471786130797524
excale_6,0.004485511796896026,0.00520319368439939,0.008432762178164528,0.004934062976585629,0.0017942047187584104,0.0011662330671929667,0.0008971023593792052,8.971023593792052e-05,0.0,0.00026913070781376156,0.0008971023593792052,0.0,8.971023593792052e-05,0.0,0.00017942047187584104,0.0,8.971023593792052e-05,0.0,0.0,0.0,0.0,8.971023593792052e-05,8.971023593792052e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.971023593792052e-05,0.0,0.0,0.0,0.0,0.0,0.028796985736072485
