,la,de,ta,ma,se,mi,do,no,ca,to,co,te,sa,pa,na,ra,ni,ba,go,mo,lo,me,ne,re,pe,le,so,ro,mu,su,ga,ti,da,di,ha,li,vo,si,bo,va,vi,yo,po,jo,ce,tu,ri,ci,ya,bi,pi,ju,ja,ve,fi,be,za,nu,fe,cu,lu,gu,fa,pu,du,ho,zo,hi,ge,je,ye,he,bu,xi,gi,ru,fo,hu,yu,fu,ji,ka,ke,yi,ly,zu,xa,qe,xo,vu,dy,wa,zi,xe,ze,ny,ry,cy,zy,ki,qi,qa,sy,qo,ty,ky,we,wi,gy,my,Total
cuentos_4,109,179,51,58,45,23,93,56,40,76,53,89,41,57,85,81,25,33,14,38,37,27,33,37,26,29,35,32,21,33,16,42,39,30,35,25,4,41,3,16,10,6,36,8,16,23,23,23,6,7,11,3,10,17,13,12,15,3,7,14,8,16,3,6,9,7,4,7,10,7,2,8,4,0,3,1,2,5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2175.0
cuentos_5,110,204,68,35,60,53,58,59,80,63,71,125,21,35,72,52,49,24,17,57,51,41,20,47,27,16,41,17,4,20,11,87,43,28,24,45,13,47,5,29,15,5,30,11,18,42,18,31,3,10,7,0,12,12,36,6,22,3,12,14,6,6,3,5,11,1,4,4,18,7,1,8,1,4,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2321.0
cuentos_6,141,193,45,40,42,33,73,57,67,60,53,59,17,44,82,67,25,9,14,44,40,17,27,45,24,19,50,20,3,24,16,56,57,37,14,41,7,36,3,31,17,4,29,7,25,36,24,18,8,6,8,2,7,15,10,9,19,5,7,14,5,4,2,4,10,8,3,1,9,7,5,11,1,5,10,1,0,3,0,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2099.0
cuentos_7,161,237,61,38,46,65,64,58,51,39,89,45,22,38,67,82,23,19,22,63,31,17,19,52,35,20,31,33,20,8,23,55,26,7,15,36,17,23,9,13,17,6,39,7,12,18,35,10,3,6,12,1,7,11,8,11,20,14,3,25,31,17,5,8,1,4,16,0,5,5,0,9,3,3,7,11,2,0,11,2,3,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2192.0
excale_1,27,41,36,36,43,10,46,46,15,41,10,16,26,22,21,25,40,29,11,5,27,1,1,13,12,20,24,13,8,36,2,3,6,8,20,0,18,0,7,8,2,0,8,27,1,3,2,2,1,1,0,4,1,7,2,1,0,9,1,1,1,1,0,3,1,2,3,3,0,4,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,867.0
excale_2,79,109,145,67,148,30,169,149,93,169,44,63,117,95,84,89,109,110,41,34,97,17,1,44,85,56,82,51,60,97,14,5,21,19,55,7,83,18,20,30,8,8,22,35,3,5,5,5,16,2,8,6,6,13,7,7,3,22,13,6,3,7,1,15,1,2,20,23,8,3,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3096.0
excale_3,74,123,164,48,188,27,187,177,116,187,60,71,147,107,80,89,142,129,48,36,87,15,4,50,132,44,88,69,85,120,9,11,24,23,74,6,85,25,34,28,17,11,22,40,2,8,7,14,11,4,5,10,10,16,6,8,5,29,18,3,4,5,5,13,0,7,25,6,1,1,5,2,1,2,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3543.0
excale_4,99,180,254,139,324,45,337,273,149,273,90,116,188,159,137,147,214,234,53,53,160,20,3,87,162,113,125,114,121,187,20,12,43,29,110,15,100,27,47,51,22,15,33,78,4,16,9,10,29,6,12,16,14,17,7,9,6,22,25,13,1,8,9,27,2,6,38,18,2,4,6,1,1,5,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5507.0
excale_5,54,74,100,45,115,12,147,131,73,114,33,50,81,69,46,69,114,82,25,25,68,7,0,37,58,36,65,36,39,86,8,8,20,15,38,6,48,9,18,30,6,10,15,18,6,5,3,2,11,1,4,3,1,8,2,2,2,13,9,3,2,8,1,12,0,0,3,7,0,1,6,0,0,0,1,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2261.0
excale_6,59,56,86,39,102,16,75,91,50,74,28,32,51,63,51,44,69,76,24,16,49,2,3,33,34,43,35,31,43,59,13,5,24,11,31,3,30,9,19,9,7,5,7,20,7,5,5,1,3,1,1,2,7,6,2,5,0,13,7,5,1,3,4,9,1,1,7,6,3,0,1,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1738.0
excale_7,43,38,69,36,76,13,71,86,36,80,31,32,43,58,42,57,62,58,15,14,40,7,2,30,38,41,28,34,41,50,6,9,11,18,32,4,34,10,14,31,9,2,15,25,1,6,4,0,9,0,1,4,1,5,1,2,0,9,10,4,0,1,2,6,0,1,7,7,0,3,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1581.0
Total,4417.0,3020.0,2428.0,2386.0,2331.0,2176.0,2062.0,2008.0,1964.0,1803.0,1747.0,1731.0,1723.0,1638.0,1632.0,1399.0,1343.0,1282.0,1257.0,1253.0,1167.0,1105.0,1058.0,1036.0,984.0,943.0,922.0,909.0,889.0,832.0,765.0,751.0,751.0,729.0,720.0,688.0,654.0,641.0,592.0,473.0,467.0,449.0,449.0,449.0,417.0,412.0,326.0,325.0,321.0,317.0,317.0,313.0,287.0,276.0,253.0,237.0,226.0,193.0,182.0,180.0,173.0,170.0,165.0,160.0,156.0,155.0,145.0,130.0,130.0,91.0,89.0,79.0,69.0,54.0,44.0,44.0,38.0,33.0,32.0,31.0,29.0,23.0,15.0,11.0,10.0,9.0,8.0,7.0,6.0,6.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,64767.0
