,Level,Syllable,SyllableFrequency,Pattern,PatternFrequency,SyllableProbability,PatternProbability,TotalSyllables
1_re,1,re,13,CV,867,0.007222222222222222,0.4816666666666667,1800
1_fue,1,fue,10,CVV,146,0.005555555555555556,0.0811111111111111,1800
1_can,1,can,2,CVC,266,0.0011111111111111111,0.14777777777777779,1800
1_ni,1,ni,40,CV,867,0.022222222222222223,0.4816666666666667,1800
1_ries,1,ries,1,CVVC,74,0.0005555555555555556,0.04111111111111111,1800
1_mien,1,mien,1,CVVC,74,0.0005555555555555556,0.04111111111111111,1800
1_ria,1,ria,1,CVV,146,0.0005555555555555556,0.0811111111111111,1800
1_tar,1,tar,2,CVC,266,0.0011111111111111111,0.14777777777777779,1800
1_vo,1,vo,18,CV,867,0.01,0.4816666666666667,1800
1_bol,1,bol,3,CVC,266,0.0016666666666666668,0.14777777777777779,1800
1_pon,1,pon,1,CVC,266,0.0005555555555555556,0.14777777777777779,1800
1_bio,1,bio,3,CVV,146,0.0016666666666666668,0.0811111111111111,1800
1_fuer,1,fuer,9,CVVC,74,0.005,0.04111111111111111,1800
1_an,1,an,2,VC,157,0.0011111111111111111,0.08722222222222223,1800
1_hai,1,hai,1,CVV,146,0.0005555555555555556,0.0811111111111111,1800
1_cia,1,cia,1,CVV,146,0.0005555555555555556,0.0811111111111111,1800
1_con,1,con,20,CVC,266,0.011111111111111112,0.14777777777777779,1800
1_cho,1,cho,2,CCV,71,0.0011111111111111111,0.03944444444444444,1800
1_pres,1,pres,1,CCVC,11,0.0005555555555555556,0.006111111111111111,1800
1_vien,1,vien,18,CVVC,74,0.01,0.04111111111111111,1800
1_un,1,un,35,VC,157,0.019444444444444445,0.08722222222222223,1800
1_zo,1,zo,3,CV,867,0.0016666666666666668,0.4816666666666667,1800
1_man,1,man,1,CVC,266,0.0005555555555555556,0.14777777777777779,1800
1_vio,1,vio,15,CVV,146,0.008333333333333333,0.0811111111111111,1800
1_ai,1,ai,6,VV,10,0.0033333333333333335,0.005555555555555556,1800
1_sia,1,sia,1,CVV,146,0.0005555555555555556,0.0811111111111111,1800
1_fri,1,fri,2,CCV,71,0.0011111111111111111,0.03944444444444444,1800
1_sie,1,sie,2,CVV,146,0.0011111111111111111,0.0811111111111111,1800
1_co,1,co,10,CV,867,0.005555555555555556,0.4816666666666667,1800
1_ga,1,ga,2,CV,867,0.0011111111111111111,0.4816666666666667,1800
1_ja,1,ja,1,CV,867,0.0005555555555555556,0.4816666666666667,1800
1_tra,1,tra,1,CCV,71,0.0005555555555555556,0.03944444444444444,1800
1_er,1,er,1,VC,157,0.0005555555555555556,0.08722222222222223,1800
1_ta,1,ta,36,CV,867,0.02,0.4816666666666667,1800
1_bre,1,bre,1,CCV,71,0.0005555555555555556,0.03944444444444444,1800
1_nes,1,nes,1,CVC,266,0.0005555555555555556,0.14777777777777779,1800
1_ri,1,ri,2,CV,867,0.0011111111111111111,0.4816666666666667,1800
1_tien,1,tien,1,CVVC,74,0.0005555555555555556,0.04111111111111111,1800
1_plo,1,plo,3,CCV,71,0.0016666666666666668,0.03944444444444444,1800
1_sol,1,sol,3,CVC,266,0.0016666666666666668,0.14777777777777779,1800
1_e,1,e,17,V,192,0.009444444444444445,0.10666666666666667,1800
1_dia,1,dia,9,CVV,146,0.005,0.0811111111111111,1800
1_jo,1,jo,27,CV,867,0.015,0.4816666666666667,1800
1_lle,1,lle,10,CCV,71,0.005555555555555556,0.03944444444444444,1800
1_don,1,don,5,CVC,266,0.002777777777777778,0.14777777777777779,1800
1_fer,1,fer,3,CVC,266,0.0016666666666666668,0.14777777777777779,1800
1_ciu,1,ciu,3,CVV,146,0.0016666666666666668,0.0811111111111111,1800
1_cue,1,cue,1,CVV,146,0.0005555555555555556,0.0811111111111111,1800
1_mon,1,mon,11,CVC,266,0.006111111111111111,0.14777777777777779,1800
1_fin,1,fin,9,CVC,266,0.005,0.14777777777777779,1800
1_ma,1,ma,36,CV,867,0.02,0.4816666666666667,1800
1_pron,1,pron,3,CCVC,11,0.0016666666666666668,0.006111111111111111,1800
1_del,1,del,2,CVC,266,0.0011111111111111111,0.14777777777777779,1800
1_bir,1,bir,1,CVC,266,0.0005555555555555556,0.14777777777777779,1800
1_ar,1,ar,5,VC,157,0.002777777777777778,0.08722222222222223,1800
1_bo,1,bo,7,CV,867,0.0038888888888888888,0.4816666666666667,1800
1_de,1,de,41,CV,867,0.02277777777777778,0.4816666666666667,1800
1_o,1,o,5,V,192,0.002777777777777778,0.10666666666666667,1800
1_das,1,das,1,CVC,266,0.0005555555555555556,0.14777777777777779,1800
1_po,1,po,8,CV,867,0.0044444444444444444,0.4816666666666667,1800
1_ir,1,ir,3,VC,157,0.0016666666666666668,0.08722222222222223,1800
1_du,1,du,1,CV,867,0.0005555555555555556,0.4816666666666667,1800
1_lla,1,lla,7,CCV,71,0.0038888888888888888,0.03944444444444444,1800
1_ci,1,ci,2,CV,867,0.0011111111111111111,0.4816666666666667,1800
1_jan,1,jan,2,CVC,266,0.0011111111111111111,0.14777777777777779,1800
1_fe,1,fe,1,CV,867,0.0005555555555555556,0.4816666666666667,1800
